Given a smooth submanifold $H \subset M$ of codimension $k\geq 1$, we find conditions on the pair $(\{\phi_h\},H)$ for which $$ \Big|\int_H\phi_hd\sigma_H\Big|=o(h^{\frac{1-k}{2}}),\qquad h\to 0^+. _	1
In particular, we show that the upper bound holds for any $H$ if $(M,g)$ is surface with Anosov geodesic flow or a manifold of constant negative curvature. @	1
The results are obtained by characterizing the behavior of the defect measures of eigenfunctions with maximal averages. @	1
Let $(M,g)$ be a smooth, compact Riemannian manifold and $\{\phi_h\}$ an $L^2$-normalized sequence of Laplace eigenfunctions, $-h^2\Delta_g\phi_h=\phi_h$. `	0
$$ One such condition is that the set of conormal directions to $H$ that are recurrent has measure $0$. @	0
Analysis of recombination rates along rice chromosomes confirms a positive correlation between the occurrence of TAGs and recombination rate, as found in Arabidopsis. _	1
We speculate that these observations reflect an evolutionary trend in which successful tandem duplication involves genes either at the end of biochemical pathways or in flexible steps in a pathway, for which fluctuation in copy number is unlikely to affect downstream genes. @	1
In Arabidopsis, tandemly arrayed genes (TAGs) comprise .10% of the genes in the genome. `	0
These duplicated genes represent a rich template for genetic innovation, but little is known of the evolutionary forces governing their generation and maintenance. `	0
Here we compare the organization and evolution of TAGs between Arabidopsis and rice, two plant genomes that diverged ;150 million years ago. `	0
TAGs from the two genomes are similar in a number of respects, including the proportion of genes that are tandemly arrayed, the number of genes within an array, the number of tandem arrays, and the dearth of TAGs relative to single copy genes in centromeric regions. _	0
TAGs are also biased functionally relative to duplicated, nontandemly arrayed genes. _	0
In both genomes, TAGs are enriched for genes that encode membrane proteins and function in ''abiotic and biotic stress'' but underrepresented for genes involved in transcription and DNA or RNA binding functions. @	0
Despite differences in the age distribution of tandem arrays, the striking similarities between rice and Arabidopsis indicate similar mechanisms of TAG generation and maintenance. @	0
This article reviews the relapse rate after cessation of treatment with NAs in chronic hepatitis B patients with the goal of identifying possible predictive factors of relapse. @	1
The introduction of nucleot(s)ide analogues (NAs) for oral antiviral therapy has dramatically improved the clinical outcome of patients with chronic hepatitis B. NAs appear to be safe and induce potent suppression of viral replication. `	0
However, they are associated with a low rate of HBsAg seroclearance, the gold standard of successful treatment, and also with a relatively high rate of virological relapse after discontinuation. `	0
As a result, long-term treatment is needed. _	0
The optimal duration of NA treatment currently remains unclear, nevertheless in some patients NA treatment can be stopped with a relatively low probability of relapse. _	0
Whether NAs are able to induce a sustained off-treatment response is an important area for research. @	0
Global location sensing (gls) loggers were used in combination with the trophic ecology of tracked individuals, inferred from the isotopic signatures of wing feathers. `	1
Results suggest that these two Macaronesian shearwater sub-populations do segregate during the non-breeding period in some 'sub-population-specific' regions, by responding to different oceanographic characteristics (habitat modelling). _	1
Within these disparate areas, both sub-populations behave differently (at-sea activity) and prey on disparate trophic niches (stable isotope analysis). _	1
Finally, when comparing to the results of former studies reporting on the spatial, behavioural and trophic choices of Macaronesian shearwater populations breeding on Azores and Canary Islands, we realized the high ecological plasticity of this species inhabiting and foraging over the North-East Atlantic Ocean. @	1
In this work we investigated the between-colony spatial, behavioural and trophic segregation of two sub-populations of the elusive Macaronesian shearwaters Puffinus baroli breeding only ~340 km apart in Cima Islet (Porto Santo Island) and Selvagem Grande Island. `	0
One hypothesis would be that each sub-population have evolved and adapted to feed on particular and 'sub-population-specific' resources, and the segregation observed at the three different levels (spatial, behavioural and trophic) might be in fact a result of such adaptation, from the emergence of 'cultural foraging patterns'. @	0
We report on the development of self‐immolative nanoparticles capable of simultaneously delivering miR‐34a mimic and targeting dysregulated polyamine metabolism in cancer. `	1
The nanoparticles were prepared from a biodegradable polycationic prodrug, named DSS‐BEN, which was synthesized from a polyamine analog N1,N11‐bisethylnorspermine (BENSpm). `	1
The nanoparticles were selectively disassembled in the cytoplasm where they released miRNA. _	1
Glutathione (GSH)‐induced degradation of self‐immolative linkers released BENSpm from the DSS‐BEN polymers. _	1
MiR‐34a mimic was effectively delivered to cancer cells as evidenced by upregulation of intracellular miR‐34a and downregulation of Bcl‐2 as one of the downstream targets of miR‐34a. _	1
Intracellular BENSpm generated from the degraded nanoparticles induced the expression of rate‐limiting enzymes in polyamine catabolism (SMOX, SSAT) and depleted cellular natural polyamines. _	1
Simultaneous regulation of polyamine metabolism and miR‐34a expression by DSS‐BEN/miR‐34a not only enhanced cancer cell killing in cultured human colon cancer cells, but also improved antitumor activity in vivo. @	1
The reported findings validate the self‐immolative nanoparticles as delivery vectors of therapeutic miRNA capable of simultaneously targeting dysregulated polyamine metabolism in cancer, thereby providing an elegant and efficient approach to combination nanomedicines. @	1
Abstract Combination of anticancer drugs with therapeutic microRNA (miRNA) has emerged as a promising anticancer strategy. `	0
However, the promise is hampered by a lack of desirable delivery systems. `	0
Graphical abstract Figure. @	0
No Caption available. @	0
We present an experiment to compare a standard, minimally distinguishing algorithm for the generation of relational referring expressions with two alternatives that produce overspecified descriptions. `	1
The experiment shows that discrimination which normally plays a major role in the disambiguation task is also a major influence in referential overspecification, even though disambiguation is in principle not relevant. _	1
METHODS This study represents data from the biopsy samples of six individuals suffering from UC. `	1
The samples were collected by colonoscopy and were processed immediately for isolation of DNA. _	1
Mucosal microbiota was analyzed by means of 16S rRNA gene-based Illumina high throughput sequencing. _	1
